Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,Field 33,Value 33,Units 33,Field 34,Value 34,Units 34,
Data,2,record,timestamp,"1061092464",s,position_lat,"433192501",semicircles,position_long,"1672020460",semicircles,distance,"5094.0",m,heart_rate,"108",bpm,altitude,"533.2",m,cadence,"41",rpm,speed,"1.24",m/s,temperature,"30",C,vertical_speed,"0.08",m/s,enhanced_altitude,"533.2",m,enhanced_speed,"1.24",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092465",s,distance,"5096.0",m,heart_rate,"109",bpm,altitude,"533.2",m,cadence,"41",rpm,speed,"1.24",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"533.2",m,enhanced_speed,"1.24",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092466",s,distance,"5096.0",m,heart_rate,"110",bpm,altitude,"533.4000000000001",m,cadence,"41",rpm,speed,"1.24",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"533.4000000000001",m,enhanced_speed,"1.24",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092467",s,distance,"5099.0",m,heart_rate,"109",bpm,altitude,"533.5999999999999",m,cadence,"41",rpm,speed,"1.24",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"533.5999999999999",m,enhanced_speed,"1.24",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061092468",s,position_lat,"433192310",semicircles,position_long,"1672020308",semicircles,distance,"5099.0",m,heart_rate,"109",bpm,altitude,"533.8",m,cadence,"41",rpm,speed,"1.24",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"533.8",m,enhanced_speed,"1.24",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092469",s,distance,"5099.0",m,heart_rate,"110",bpm,altitude,"534.0",m,cadence,"41",rpm,speed,"1.24",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"534.0",m,enhanced_speed,"1.24",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061092470",s,position_lat,"433192043",semicircles,position_long,"1672020460",semicircles,distance,"5101.0",m,heart_rate,"111",bpm,altitude,"534.2",m,cadence,"41",rpm,speed,"1.22",m/s,temperature,"30",C,vertical_speed,"0.08",m/s,enhanced_altitude,"534.2",m,enhanced_speed,"1.22",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092471",s,distance,"5101.0",m,heart_rate,"111",bpm,altitude,"534.4000000000001",m,cadence,"41",rpm,speed,"1.22",m/s,temperature,"30",C,vertical_speed,"0.08",m/s,enhanced_altitude,"534.4000000000001",m,enhanced_speed,"1.22",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092472",s,distance,"5101.0",m,heart_rate,"112",bpm,altitude,"534.5999999999999",m,cadence,"41",rpm,speed,"1.18",m/s,temperature,"30",C,vertical_speed,"0.08",m/s,enhanced_altitude,"534.5999999999999",m,enhanced_speed,"1.18",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061092473",s,position_lat,"433192005",semicircles,position_long,"1672020155",semicircles,distance,"5101.0",m,heart_rate,"113",bpm,altitude,"534.5999999999999",m,cadence,"41",rpm,speed,"1.18",m/s,temperature,"30",C,vertical_speed,"0.08",m/s,enhanced_altitude,"534.5999999999999",m,enhanced_speed,"1.18",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092474",s,distance,"5101.0",m,heart_rate,"113",bpm,altitude,"534.8",m,cadence,"41",rpm,speed,"1.16",m/s,temperature,"30",C,vertical_speed,"0.08",m/s,enhanced_altitude,"534.8",m,enhanced_speed,"1.16",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092475",s,distance,"5101.0",m,heart_rate,"113",bpm,altitude,"534.8",m,cadence,"41",rpm,speed,"1.16",m/s,temperature,"30",C,vertical_speed,"0.08",m/s,enhanced_altitude,"534.8",m,enhanced_speed,"1.16",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092476",s,distance,"5105.0",m,heart_rate,"112",bpm,altitude,"534.8",m,cadence,"41",rpm,speed,"1.16",m/s,temperature,"30",C,vertical_speed,"0.08",m/s,enhanced_altitude,"534.8",m,enhanced_speed,"1.16",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092477",s,distance,"5105.0",m,heart_rate,"110",bpm,altitude,"535.0",m,cadence,"41",rpm,speed,"1.16",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"535.0",m,enhanced_speed,"1.16",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092478",s,distance,"5108.0",m,heart_rate,"111",bpm,altitude,"535.0",m,cadence,"78",rpm,speed,"1.2",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"535.0",m,enhanced_speed,"1.2",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061092479",s,position_lat,"433191738",semicircles,position_long,"1672019850",semicircles,distance,"5108.0",m,heart_rate,"111",bpm,altitude,"535.2",m,cadence,"78",rpm,speed,"1.2",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"535.2",m,enhanced_speed,"1.2",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092480",s,distance,"5108.0",m,heart_rate,"111",bpm,altitude,"535.2",m,cadence,"78",rpm,speed,"1.16",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"535.2",m,enhanced_speed,"1.16",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061092481",s,position_lat,"433191509",semicircles,position_long,"1672019544",semicircles,distance,"5108.0",m,heart_rate,"110",bpm,altitude,"535.5999999999999",m,cadence,"76",rpm,speed,"1.16",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"535.5999999999999",m,enhanced_speed,"1.16",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092482",s,distance,"5108.0",m,heart_rate,"109",bpm,altitude,"535.5999999999999",m,cadence,"75",rpm,speed,"1.14",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"535.5999999999999",m,enhanced_speed,"1.14",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092483",s,distance,"5110.0",m,heart_rate,"108",bpm,altitude,"535.5999999999999",m,cadence,"75",rpm,speed,"1.14",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"535.5999999999999",m,enhanced_speed,"1.14",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092484",s,distance,"5110.0",m,heart_rate,"107",bpm,altitude,"535.8",m,cadence,"73",rpm,speed,"1.12",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"535.8",m,enhanced_speed,"1.12",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092485",s,distance,"5110.0",m,heart_rate,"106",bpm,altitude,"535.8",m,cadence,"73",rpm,speed,"1.12",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"535.8",m,enhanced_speed,"1.12",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061092486",s,position_lat,"433191509",semicircles,position_long,"1672019239",semicircles,distance,"5110.0",m,heart_rate,"106",bpm,altitude,"536.0",m,cadence,"73",rpm,speed,"1.12",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"536.0",m,enhanced_speed,"1.12",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092487",s,distance,"5112.0",m,heart_rate,"106",bpm,altitude,"536.0",m,cadence,"71",rpm,speed,"1.12",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"536.0",m,enhanced_speed,"1.12",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092488",s,distance,"5112.0",m,heart_rate,"105",bpm,altitude,"536.0",m,cadence,"71",rpm,speed,"1.1",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"536.0",m,enhanced_speed,"1.1",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092489",s,distance,"5112.0",m,heart_rate,"104",bpm,altitude,"536.0",m,cadence,"69",rpm,speed,"1.1",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"536.0",m,enhanced_speed,"1.1",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061092490",s,position_lat,"433191280",semicircles,position_long,"1672019086",semicircles,distance,"5115.0",m,heart_rate,"104",bpm,altitude,"536.0",m,cadence,"76",rpm,speed,"1.1",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"536.0",m,enhanced_speed,"1.1",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092491",s,distance,"5115.0",m,heart_rate,"104",bpm,altitude,"536.0",m,cadence,"77",rpm,speed,"1.1",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"536.0",m,enhanced_speed,"1.1",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092492",s,distance,"5117.0",m,heart_rate,"105",bpm,altitude,"536.0",m,cadence,"42",rpm,speed,"1.12",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"536.0",m,enhanced_speed,"1.12",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061092493",s,position_lat,"433191089",semicircles,position_long,"1672018933",semicircles,distance,"5117.0",m,heart_rate,"105",bpm,altitude,"536.0",m,cadence,"42",rpm,speed,"1.12",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"536.0",m,enhanced_speed,"1.12",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092494",s,distance,"5120.0",m,heart_rate,"106",bpm,altitude,"536.2",m,cadence,"44",rpm,speed,"1.14",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"536.2",m,enhanced_speed,"1.14",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061092495",s,position_lat,"433191012",semicircles,position_long,"1672018628",semicircles,distance,"5120.0",m,heart_rate,"106",bpm,altitude,"536.4000000000001",m,cadence,"44",rpm,speed,"1.14",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"536.4000000000001",m,enhanced_speed,"1.14",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092496",s,distance,"5120.0",m,heart_rate,"105",bpm,altitude,"536.4000000000001",m,cadence,"44",rpm,speed,"1.14",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"536.4000000000001",m,enhanced_speed,"1.14",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061092497",s,position_lat,"433190745",semicircles,position_long,"1672018322",semicircles,distance,"5120.0",m,heart_rate,"106",bpm,altitude,"536.4000000000001",m,cadence,"44",rpm,speed,"1.14",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"536.4000000000001",m,enhanced_speed,"1.14",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092498",s,distance,"5120.0",m,heart_rate,"106",bpm,altitude,"536.4000000000001",m,cadence,"46",rpm,speed,"1.1",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"536.4000000000001",m,enhanced_speed,"1.1",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092499",s,distance,"5123.0",m,heart_rate,"107",bpm,altitude,"536.4000000000001",m,cadence,"47",rpm,speed,"1.1",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"536.4000000000001",m,enhanced_speed,"1.1",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092500",s,distance,"5123.0",m,heart_rate,"108",bpm,altitude,"536.4000000000001",m,cadence,"47",rpm,speed,"1.08",m/s,temperature,"30",C,vertical_speed,"0.08",m/s,enhanced_altitude,"536.4000000000001",m,enhanced_speed,"1.08",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092501",s,distance,"5125.0",m,heart_rate,"108",bpm,altitude,"536.4000000000001",m,cadence,"45",rpm,speed,"1.08",m/s,temperature,"30",C,vertical_speed,"0.08",m/s,enhanced_altitude,"536.4000000000001",m,enhanced_speed,"1.08",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061092502",s,position_lat,"433190631",semicircles,position_long,"1672018017",semicircles,distance,"5125.0",m,heart_rate,"110",bpm,altitude,"536.4000000000001",m,cadence,"45",rpm,speed,"1.08",m/s,temperature,"30",C,vertical_speed,"0.08",m/s,enhanced_altitude,"536.4000000000001",m,enhanced_speed,"1.08",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"1061092503",s,distance,"5125.0",m,altitude,"536.5999999999999",m,cadence,"45",rpm,speed,"1.08",m/s,temperature,"30",C,vertical_speed,"0.08",m/s,enhanced_altitude,"536.5999999999999",m,enhanced_speed,"1.08",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061092504",s,position_lat,"433190745",semicircles,position_long,"1672017712",semicircles,distance,"5125.0",m,heart_rate,"111",bpm,altitude,"536.5999999999999",m,cadence,"45",rpm,speed,"1.04",m/s,temperature,"30",C,vertical_speed,"0.06",m/s,enhanced_altitude,"536.5999999999999",m,enhanced_speed,"1.04",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"1061092505",s,distance,"5125.0",m,altitude,"536.8",m,cadence,"45",rpm,speed,"1.04",m/s,temperature,"30",C,vertical_speed,"0.06",m/s,enhanced_altitude,"536.8",m,enhanced_speed,"1.04",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092506",s,distance,"5125.0",m,heart_rate,"113",bpm,altitude,"537.0",m,cadence,"45",rpm,speed,"1.0",m/s,temperature,"30",C,vertical_speed,"0.06",m/s,enhanced_altitude,"537.0",m,enhanced_speed,"1.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"1061092507",s,distance,"5125.0",m,altitude,"537.0",m,cadence,"45",rpm,speed,"1.0",m/s,temperature,"30",C,vertical_speed,"0.06",m/s,enhanced_altitude,"537.0",m,enhanced_speed,"1.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092508",s,distance,"5125.0",m,heart_rate,"114",bpm,altitude,"536.8",m,cadence,"0",rpm,speed,"0.94",m/s,temperature,"30",C,vertical_speed,"0.06",m/s,enhanced_altitude,"536.8",m,enhanced_speed,"0.94",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"1061092509",s,distance,"5125.0",m,altitude,"536.8",m,cadence,"0",rpm,speed,"0.94",m/s,temperature,"30",C,vertical_speed,"0.06",m/s,enhanced_altitude,"536.8",m,enhanced_speed,"0.94",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092510",s,distance,"5125.0",m,heart_rate,"117",bpm,altitude,"536.8",m,cadence,"0",rpm,speed,"0.34",m/s,temperature,"30",C,vertical_speed,"0.06",m/s,enhanced_altitude,"536.8",m,enhanced_speed,"0.34",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"1061092511",s,distance,"5125.0",m,altitude,"536.8",m,cadence,"0",rpm,speed,"0.34",m/s,temperature,"30",C,vertical_speed,"0.06",m/s,enhanced_altitude,"536.8",m,enhanced_speed,"0.34",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092512",s,distance,"5125.0",m,heart_rate,"120",bpm,altitude,"536.8",m,cadence,"0",rpm,speed,"0.0",m/s,temperature,"30",C,vertical_speed,"0.06",m/s,enhanced_altitude,"536.8",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"1061092513",s,distance,"5125.0",m,altitude,"536.8",m,cadence,"0",rpm,speed,"0.0",m/s,temperature,"30",C,vertical_speed,"0.06",m/s,enhanced_altitude,"536.8",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092514",s,distance,"5125.0",m,heart_rate,"123",bpm,altitude,"536.8",m,cadence,"0",rpm,speed,"0.0",m/s,temperature,"30",C,vertical_speed,"0.04",m/s,enhanced_altitude,"536.8",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"1061092515",s,distance,"5125.0",m,altitude,"536.8",m,cadence,"0",rpm,speed,"0.0",m/s,temperature,"30",C,vertical_speed,"0.04",m/s,enhanced_altitude,"536.8",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092516",s,distance,"5125.0",m,heart_rate,"127",bpm,altitude,"536.8",m,cadence,"0",rpm,speed,"0.0",m/s,temperature,"30",C,vertical_speed,"0.04",m/s,enhanced_altitude,"536.8",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"1061092517",s,distance,"5125.0",m,altitude,"537.0",m,cadence,"0",rpm,speed,"0.0",m/s,temperature,"30",C,vertical_speed,"0.04",m/s,enhanced_altitude,"537.0",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092518",s,distance,"5128.0",m,heart_rate,"129",bpm,altitude,"537.0",m,cadence,"0",rpm,speed,"0.86",m/s,temperature,"30",C,vertical_speed,"0.04",m/s,enhanced_altitude,"537.0",m,enhanced_speed,"0.86",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"1061092519",s,distance,"5128.0",m,altitude,"536.8",m,cadence,"46",rpm,speed,"0.86",m/s,temperature,"30",C,vertical_speed,"0.04",m/s,enhanced_altitude,"536.8",m,enhanced_speed,"0.86",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092520",s,distance,"5130.0",m,heart_rate,"127",bpm,altitude,"536.8",m,cadence,"41",rpm,speed,"1.3",m/s,temperature,"30",C,vertical_speed,"0.04",m/s,enhanced_altitude,"536.8",m,enhanced_speed,"1.3",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"1061092521",s,position_lat,"433190898",semicircles,position_long,"1672017406",semicircles,distance,"5130.0",m,altitude,"537.0",m,cadence,"72",rpm,speed,"1.3",m/s,temperature,"30",C,vertical_speed,"0.02",m/s,enhanced_altitude,"537.0",m,enhanced_speed,"1.3",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092522",s,distance,"5130.0",m,heart_rate,"126",bpm,altitude,"537.0",m,cadence,"72",rpm,speed,"0.98",m/s,temperature,"30",C,vertical_speed,"0.02",m/s,enhanced_altitude,"537.0",m,enhanced_speed,"0.98",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"1061092523",s,position_lat,"433190898",semicircles,position_long,"1672017101",semicircles,distance,"5134.0",m,altitude,"537.2",m,cadence,"43",rpm,speed,"0.98",m/s,temperature,"30",C,vertical_speed,"0.02",m/s,enhanced_altitude,"537.2",m,enhanced_speed,"0.98",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092524",s,distance,"5134.0",m,heart_rate,"126",bpm,altitude,"537.4000000000001",m,cadence,"42",rpm,speed,"1.3",m/s,temperature,"30",C,vertical_speed,"0.02",m/s,enhanced_altitude,"537.4000000000001",m,enhanced_speed,"1.3",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092525",s,distance,"5134.0",m,heart_rate,"127",bpm,altitude,"537.4000000000001",m,cadence,"78",rpm,speed,"1.3",m/s,temperature,"30",C,vertical_speed,"0.02",m/s,enhanced_altitude,"537.4000000000001",m,enhanced_speed,"1.3",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061092526",s,position_lat,"433190860",semicircles,position_long,"1672016643",semicircles,distance,"5134.0",m,heart_rate,"126",bpm,altitude,"537.4000000000001",m,cadence,"42",rpm,speed,"1.02",m/s,temperature,"30",C,vertical_speed,"0.02",m/s,enhanced_altitude,"537.4000000000001",m,enhanced_speed,"1.02",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092527",s,distance,"5136.0",m,heart_rate,"124",bpm,altitude,"537.4000000000001",m,cadence,"42",rpm,speed,"1.02",m/s,temperature,"30",C,vertical_speed,"0.02",m/s,enhanced_altitude,"537.4000000000001",m,enhanced_speed,"1.02",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092528",s,distance,"5136.0",m,heart_rate,"124",bpm,altitude,"537.5999999999999",m,cadence,"42",rpm,speed,"1.04",m/s,temperature,"30",C,vertical_speed,"0.02",m/s,enhanced_altitude,"537.5999999999999",m,enhanced_speed,"1.04",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061092529",s,distance,"5136.0",m,heart_rate,"124",bpm,altitude,"537.5999999999999",m,cadence,"42",rpm,speed,"1.04",m/s,temperature,"30",C,vertical_speed,"0.02",m/s,enhanced_altitude,"537.5999999999999",m,enhanced_speed,"1.04",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
